"¼ Espaço Em","Edição de texto","Ctrl+Alt+Espaço","¼ Espaço Em",
"¼ Espaço Em","Edição de texto da tabela","Ctrl+Alt+Espaço","¼ Espaço Em",
"Zoom para seleção","Visualização de impressão","Shift+F2","Zoom para seleção",
"Zoom para seleção","Principal","Shift+F2","Aumentar somente o objeto selecionado.",
"Zoom para página","Visualização de impressão","Shift+F4","Zoom para página",
"Zoom para página","Principal","Shift+F4","Ajuste o nível de ampliação para visualizar a página inteira.",
"Zoom para ajustar","Visualização de impressão","F4","Zoom para ajustar",
"Zoom para ajustar","Principal","F4","Ajuste o nível de ampliação para incluir todos os objetos",
"Zoom instantâneo","Principal","F2","Zoom instantâneo",
"Zoom","Principal","Z","Mude o nível de ampliação na janela de documento.",
"Visualizações","Principal","Ctrl+F2","Ancorador de visualizações",
"Visualização de tela cheia","Principal","F9","Mostrar uma visualização de tela cheia do documento.",
"Visualizar registro único","Configurar fonte de dados","Ctrl+V","Visualizar registro único",
"Versaletes","Edição de texto da tabela","Ctrl+Shift+K","Versaletes",
"Versaletes","Edição de texto","Ctrl+Shift+K","Versaletes",
"Verificação prévia...","Visualização de impressão","Ctrl+I","Verificação prévia...",
"Usar capitulação","Edição de texto da tabela","Ctrl+Shift+D","Adicione ou remova uma capitulação.",
"Usar capitulação","Edição de texto","Ctrl+Shift+D","Adicione ou remova uma capitulação.",
"Unir curvas","Principal","Ctrl+Shift+J","Unir curvas",
"Tópicos da Ajuda...","Visualização de impressão","Ctrl+F1","Tópicos da Ajuda...",
"Traço","Edição de texto da tabela","Alt+-","Traço",
"Traço","Edição de texto","Alt+-","Traço",
"Travessão","Edição de texto da tabela","Alt+_","Travessão",
"Travessão","Edição de texto","Alt+_","Travessão",
"Transformar","Principal","Alt+F7","Especifique a posição do objeto na página de desenho.",
"Texto vertical","Principal","Ctrl+.","Altera o texto para a vertical",
"Texto horizontal","Principal","Ctrl+,","Altera o texto para a direção horizontal",
"Texto","Principal","F8","Adicione e edite parágrafo e texto artístico.",
"Texto","Principal","Ctrl+T","Edite as propriedades de texto artístico e de parágrafo.",
"Texto","Edição de texto da tabela","Ctrl+F10","Opões de texto",
"Texto","Edição de texto","Ctrl+F10","Opões de texto",
"Tela cheia","Visualização de impressão","F9","Tela cheia",
"Tela cheia","Visualização de impressão","Ctrl+U","Tela cheia",
"Tamanho da fonte do combo seguinte","Principal","Ctrl+NUMPAD6","Tamanho da fonte do combo seguinte",
"Tamanho da fonte do combo seguinte","Edição de texto da tabela","Ctrl+NUMPAD6","Tamanho da fonte do combo seguinte",
"Tamanho da fonte do combo seguinte","Edição de texto","Ctrl+NUMPAD6","Tamanho da fonte do combo seguinte",
"Tamanho da fonte do combo anterior","Principal","Ctrl+NUMPAD4","Tamanho da fonte do combo anterior",
"Tamanho da fonte do combo anterior","Edição de texto da tabela","Ctrl+NUMPAD4","Tamanho da fonte do combo anterior",
"Tamanho da fonte do combo anterior","Edição de texto","Ctrl+NUMPAD4","Tamanho da fonte do combo anterior",
"Tamanho da fonte","Edição de texto da tabela","Ctrl+Shift+P","Especifique o tamanho da fonte.",
"Tamanho","Principal","Alt+F10","Especifique as dimensões do objeto.",
"Tabela","Edição da tabela","Excluir","Exclui a tabela selecionada",
"Símbolos","Principal","Ctrl+F3","Ancorador de símbolos",
